temp,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
7.7,-36.0373,2.7814655,-41.488873,-30.585728,6.5663509,9.1419401,-11.351523,24.484224
7.8,-35.649826,2.7790186,-41.096603,-30.203051,6.5930257,9.1548843,-11.350218,24.536268
7.9,-35.265053,2.7764802,-40.706856,-29.823252,6.6189914,9.1670856,-11.348166,24.586149
8,-34.882969,2.7738428,-40.319599,-29.446337,6.6442499,9.1785278,-11.345334,24.633835
8.1,-34.503563,2.7710989,-39.934818,-29.072309,6.6688023,9.1891956,-11.34169,24.679295
8.199999999999999,-34.126827,2.7682414,-39.552483,-28.701174,6.6926498,9.1990747,-11.337205,24.722506
8.300000000000001,-33.75275,2.7652638,-39.172569,-28.332933,6.7157931,9.2081509,-11.331851,24.763437
8.4,-33.381325,2.7621598,-38.795059,-27.967592,6.738234,9.2164125,-11.325602,24.802071
8.5,-33.012543,2.7589233,-38.419933,-27.605152,6.759974,9.2238464,-11.318433,24.838381
8.6,-32.646389,2.7555487,-38.047165,-27.245613,6.781013,9.230443,-11.310323,24.872349
8.699999999999999,-32.28286,2.7520308,-37.676739,-26.888979,6.8013535,9.2361917,-11.30125,24.903957
8.800000000000001,-31.921942,2.7483644,-37.308636,-26.535246,6.8209958,9.2410841,-11.291196,24.933187
8.9,-31.563625,2.744545,-36.942837,-26.184416,6.839942,9.2451105,-11.280142,24.960026
9,-31.207905,2.7405682,-36.579319,-25.836489,6.8581924,9.2482643,-11.268072,24.984457
9.1,-30.854767,2.7364295,-36.218071,-25.491463,6.8757486,9.2505379,-11.254972,25.00647
9.199999999999999,-30.504202,2.7321255,-35.85907,-25.149336,6.892612,9.2519245,-11.240827,25.026051
9.300000000000001,-30.156204,2.7276523,-35.502304,-24.810104,6.9087834,9.2524195,-11.225625,25.043192
9.4,-29.81076,2.7230065,-35.147755,-24.473766,6.9242644,9.252017,-11.209355,25.057884
9.5,-29.467863,2.7181854,-34.795406,-24.140318,6.9390559,9.2507133,-11.192008,25.07012
9.6,-29.127501,2.7131855,-34.445248,-23.809755,6.9531593,9.2485037,-11.173574,25.079893
9.699999999999999,-28.789665,2.708005,-34.09726,-23.482073,6.9665756,9.2453842,-11.154045,25.087196
9.800000000000001,-28.454348,2.7026405,-33.751427,-23.157269,6.9793057,9.241354,-11.133415,25.092028
9.9,-28.121538,2.6970906,-33.407738,-22.835337,6.9913516,9.2364101,-11.111679,25.094383
10,-27.791225,2.6913531,-33.066181,-22.51627,7.0027142,9.2305498,-11.088831,25.094259
10.1,-27.463402,2.685426,-32.726738,-22.200062,7.0133944,9.223772,-11.064866,25.091656
10.2,-27.138056,2.6793079,-32.389404,-21.886709,7.0233936,9.2160759,-11.039784,25.086571
10.3,-26.81518,2.6729975,-32.054161,-21.576202,7.0327129,9.2074623,-11.013581,25.079006
10.4,-26.494764,2.6664932,-31.720995,-21.268534,7.0413537,9.1979284,-10.986256,25.068962
10.5,-26.1768,2.6597943,-31.3899,-20.963699,7.0493169,9.1874771,-10.957808,25.056442
10.6,-25.861275,2.6528997,-31.060863,-20.661688,7.0566039,9.1761084,-10.928238,25.041447
10.7,-25.548182,2.6458089,-30.733871,-20.362492,7.0632162,9.1638231,-10.897547,25.023979
10.8,-25.237511,2.6385212,-30.408916,-20.066103,7.0691543,9.1506224,-10.865736,25.004044
10.9,-24.929251,2.6310363,-30.085987,-19.772514,7.07442,9.136508,-10.832808,24.981647
11,-24.623394,2.6233537,-29.765074,-19.481716,7.0790138,9.1214828,-10.798764,24.956793
11.1,-24.319931,2.6154735,-29.446165,-19.193697,7.0829382,9.1055498,-10.763611,24.929487
11.2,-24.01885,2.6073956,-29.129253,-18.908449,7.0861931,9.0887098,-10.72735,24.899736
11.3,-23.720146,2.5991201,-28.814327,-18.625963,7.0887799,9.0709667,-10.689987,24.867548
11.4,-23.423803,2.5906475,-28.501379,-18.346228,7.0907006,9.0523233,-10.651528,24.83293
11.5,-23.129818,2.5819781,-28.190401,-18.069233,7.0919557,9.0327854,-10.611978,24.795889
11.6,-22.838177,2.5731122,-27.881384,-17.79497,7.0925465,9.0123539,-10.571342,24.756435
11.7,-22.548872,2.5640507,-27.574318,-17.523424,7.092474,8.9910345,-10.52963,24.714577
11.8,-22.261892,2.5547941,-27.269197,-17.254589,7.0917401,8.9688311,-10.486845,24.670326
11.9,-21.977232,2.5453434,-26.966013,-16.988449,7.0903454,8.9457483,-10.442999,24.62369
12,-21.694878,2.5356996,-26.664757,-16.724997,7.0882912,8.9217901,-10.398097,24.574678
12.1,-21.41482,2.5258634,-26.365421,-16.464218,7.0855789,8.8969631,-10.352149,24.523306
12.2,-21.137053,2.5158362,-26.068001,-16.206102,7.0822096,8.8712711,-10.305163,24.469582
12.3,-20.861563,2.5056193,-25.772486,-15.950639,7.0781841,8.8447208,-10.25715,24.413517
12.4,-20.588341,2.4952135,-25.47887,-15.697812,7.0735044,8.8173161,-10.208117,24.355125
12.5,-20.317381,2.4846208,-25.187147,-15.447613,7.068171,8.7890635,-10.158077,24.294418
12.6,-20.04867,2.4738424,-24.897312,-15.200027,7.0621853,8.7599688,-10.107038,24.231409
12.7,-19.7822,2.4628797,-24.609354,-14.955043,7.0555487,8.7300386,-10.055013,24.166111
12.8,-19.51796,2.4517345,-24.323271,-14.712648,7.0482621,8.6992788,-10.002011,24.098536
