temp,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
31.4,-.92452055,1.0771102,-3.0356178,1.1865766,-.37438756,2.9285209,-6.1141829,5.3654079
31.5,-.94570136,1.1035024,-3.1085262,1.2171236,-.46946898,2.9974558,-6.3443742,5.4054365
31.6,-.96685761,1.1301376,-3.1818867,1.2481713,-.56895256,3.0667241,-6.5796208,5.4417157
31.700001,-.98798728,1.1570277,-3.2557199,1.2797452,-.67287451,3.1363444,-6.8199964,5.4742475
31.799999,-1.0090878,1.1841841,-3.3300459,1.3118703,-.78126878,3.2063348,-7.0655699,5.5030322
31.9,-1.030158,1.21162,-3.4048896,1.3445735,-.89417565,3.2767181,-7.3164248,5.5280738
32,-1.0511954,1.239347,-3.4802706,1.37788,-1.0116293,3.3475125,-7.5726333,5.5493741
32.099998,-1.0721973,1.2673765,-3.5562098,1.4118149,-1.1336637,3.4187367,-7.8342648,5.5669374
32.200001,-1.0931631,1.2957226,-3.6327326,1.4464065,-1.2603219,3.4904158,-8.1014109,5.5807676
32.299999,-1.1140889,1.3243952,-3.7098558,1.481678,-1.3916304,3.5625651,-8.3741293,5.5908689
32.400002,-1.1349744,1.3534087,-3.7876067,1.517658,-1.5276355,3.635211,-8.6525183,5.5972471
32.5,-1.1558156,1.3827733,-3.8660014,1.5543702,-1.6683627,3.7083695,-8.9366331,5.5999079
32.599998,-1.1766115,1.4125021,-3.9450645,1.5918417,-1.8138537,3.7820649,-9.2265644,5.5988574
32.700001,-1.1973608,1.4426086,-4.0248218,1.6301003,-1.9641502,3.8563218,-9.5224018,5.5941019
32.799999,-1.2180595,1.4731028,-4.105288,1.6691689,-2.119277,3.9311571,-9.8242035,5.585649
32.900002,-1.2387075,1.5039992,-4.186492,1.7090768,-2.2792819,4.0065985,-10.132071,5.5735064
33,-1.2593009,1.5353075,-4.2684484,1.7498466,-2.4441891,4.0826626,-10.44606,5.557682
33.099998,-1.2798386,1.5670413,-4.3511829,1.7915058,-2.6140409,4.1593752,-10.766266,5.5381846
33.200001,-1.3003191,1.5992136,-4.43472,1.834082,-2.7888796,4.2367625,-11.092781,5.5150223
33.299999,-1.3207387,1.6318341,-4.5190749,1.8775975,-2.9687285,4.3148413,-11.425662,5.488205
33.400002,-1.3410971,1.6649173,-4.6042752,1.922081,-3.1536376,4.3936415,-11.765017,5.4577413
