var_type,year,pctile,beta1,beta2,anomalymin,anomalymax
"value",2043,.1,-.2526115,.0621637,.46,2.073
"value",2044,.1,-.2654291,.0835441,.47,2.173
"value",2045,.1,-.2737235,.1008976,.48,2.273
"value",2046,.1,-.2714394,.1046943,.49,2.353
"value",2047,.1,-.2761597,.1065863,.5,2.443
"value",2048,.1,-.3030511,.1232932,.51,2.533
"value",2049,.1,-.3037254,.1260609,.52,2.623
"value",2050,.1,-.2976771,.1251004,.53,2.703
"value",2051,.1,-.2949474,.1323651,.54,2.783
"value",2052,.1,-.2864403,.1274458,.55,2.863
"value",2053,.1,-.2377948,.101432,.56,2.983
"value",2054,.1,-.2185749,.0938702,.57,3.083
"value",2055,.1,-.2352185,.1089978,.58,3.173
"value",2056,.1,-.2515673,.1153501,.59,3.273
"value",2057,.1,-.2447131,.1156252,.59,3.373
"value",2058,.1,-.2681086,.1334156,.6,3.463
"value",2059,.1,-.2617599,.1341719,.61,3.583
"value",2060,.1,-.2492122,.1286015,.61,3.713
"value",2061,.1,-.2434197,.1283279,.62,3.803
"value",2062,.1,-.2367563,.1290606,.63,3.903
"value",2063,.1,-.2460932,.1323763,.63,3.993
"value",2064,.1,-.2413207,.1319368,.64,4.123
"value",2065,.1,-.2441615,.1365132,.64,4.263
"value",2066,.1,-.2269906,.1343444,.65,4.423
"value",2067,.1,-.2358476,.1397341,.65,4.603
"value",2068,.1,-.2393371,.1436481,.66,4.753
"value",2069,.1,-.2761145,.1579506,.66,4.863
"value",2070,.1,-.2831644,.1602923,.66,4.983
"value",2071,.1,-.2907462,.162204,.67,5.093
"value",2072,.1,-.2910252,.1624264,.67,5.203
"value",2073,.1,-.2785858,.1601326,.67,5.313
"value",2074,.1,-.2753935,.1593374,.67,5.423
"value",2075,.1,-.2708535,.1602417,.68,5.553
"value",2076,.1,-.2345404,.1504726,.68,5.703
"value",2077,.1,-.2427103,.1546994,.68,5.863
"value",2078,.1,-.2589462,.162815,.68,6.043
"value",2079,.1,-.2724028,.1686242,.68,6.243
"value",2080,.1,-.2773768,.1705492,.68,6.403
"value",2081,.1,-.298906,.1815177,.68,6.573
"value",2082,.1,-.2859009,.180031,.68,6.723
"value",2083,.1,-.2982562,.1830798,.68,6.883
"value",2084,.1,-.2955201,.1835959,.68,7.033
"value",2085,.1,-.2983551,.1845452,.68,7.183
"value",2086,.1,-.2926886,.1832888,.68,7.303
"value",2087,.1,-.2955295,.1859406,.68,7.433
"value",2088,.1,-.2812341,.1853471,.69,7.553
"value",2089,.1,-.274844,.1844087,.69,7.773
"value",2090,.1,-.2723908,.1873738,.69,7.902999
"value",2091,.1,-.2760948,.1892651,.69,8.033
"value",2092,.1,-.2737924,.1899466,.69,8.163
"value",2093,.1,-.2807167,.1920624,.69,8.283
"value",2094,.1,-.2779756,.1925609,.69,8.403
"value",2095,.1,-.2730701,.1911524,.69,8.513
"value",2096,.1,-.2571277,.1892865,.69,8.653
"value",2097,.1,-.2678153,.1944519,.69,8.873
"value",2098,.1,-.2639086,.1925109,.69,9.073
"value",2099,.1,-.2699969,.1964722,.69,9.243
