temp,no_wgt_comm,no_wgt_low,no_wgt_high,pop_wgt_comm,risk_wgt_low,risk_wgt_high,frac_no_wgt_comm,frac_no_wgt_low,frac_no_wgt_high,frac_pop_wgt_comm,frac_risk_wgt_low,frac_risk_wgt_high
-19.2,2,2,0,5.06608332818e-06,.0000106734987639,0,3.03220826783e-07,3.21771752494e-07,0,5.20007069553e-06,.0000118947659355,0
-17.3,3,3,0,.000014554274927,.0000306637330141,0,4.54831240175e-07,4.82657628742e-07,0,.0000149392052281,.0000341722929828,0
-17.1,1,1,0,2.62646161659e-06,5.53357131139e-06,0,1.51610413392e-07,1.60885876247e-07,0,2.69592606371e-06,6.16672536273e-06,0
-15.8,1,1,0,1.46259403619e-06,3.08147218675e-06,0,1.51610413392e-07,1.60885876247e-07,0,1.50127660648e-06,3.43405580578e-06,0
-15.3,1,1,0,6.74032927620e-07,1.42008900639e-06,0,1.51610413392e-07,1.60885876247e-07,0,6.91859696671e-07,1.58257631469e-06,0
-15,2,2,0,7.13746181366e-06,.0000150375908561,0,3.03220826783e-07,3.21771752494e-07,0,7.32623283381e-06,.0000167581996704,0
-14.3,2,2,0,5.54671754321e-06,.0000116861247079,0,3.03220826783e-07,3.21771752494e-07,0,5.69341668591e-06,.0000130232570564,0
-14,2,2,0,3.31955909558e-06,6.99382690073e-06,0,3.03220826783e-07,3.21771752494e-07,0,3.40735452949e-06,7.79406414127e-06,0
-13.9,2,2,0,2.60242094121e-06,5.48292109670e-06,0,3.03220826783e-07,3.21771752494e-07,0,2.67124956247e-06,6.11027972465e-06,0
-13.7,1,1,0,2.57021854200e-06,5.41507552043e-06,0,1.51610413392e-07,1.60885876247e-07,0,2.63819547678e-06,6.03467122294e-06,0
-13,1,1,0,3.58615456681e-07,7.55550445319e-07,0,1.51610413392e-07,1.60885876247e-07,0,3.68100089645e-07,8.42000912572e-07,0
-12.6,3,3,0,2.53303357102e-06,5.33673244263e-06,0,4.54831240175e-07,4.82657628742e-07,0,2.60002704066e-06,5.94736409023e-06,0
-12.5,1,1,0,5.98573223168e-07,1.26110649035e-06,0,1.51610413392e-07,1.60885876247e-07,0,6.14404239981e-07,1.40540293808e-06,0
-12.4,1,1,0,3.20911217675e-07,6.76113131703e-07,0,1.51610413392e-07,1.60885876247e-07,0,3.29398651937e-07,7.53474341023e-07,0
-12.3,2,2,0,1.29955610558e-06,2.73797513728e-06,0,3.03220826783e-07,3.21771752494e-07,0,1.33392666170e-06,3.05125564874e-06,0
-11.9,1,1,0,4.49534384931e-07,9.47103387716e-07,0,1.51610413392e-07,1.60885876247e-07,0,4.61423634450e-07,1.05547144032e-06,0
-11.7,1,1,0,6.35644286468e-06,.0000133920984808,0,1.51610413392e-07,1.60885876247e-07,0,6.52455755803e-06,.0000149244292184,0
-11.6,4,4,0,8.73079373085e-06,.000018394509425,0,6.06441653566e-07,6.43543504989e-07,0,8.96170506632e-06,.0000204992185738,0
-11.5,4,4,0,.0000106937283314,.0000225301264436,0,6.06441653566e-07,6.43543504989e-07,0,.0000109765552044,.0000251080350007,0
-11.4,3,3,0,3.49494604464e-06,7.36334123985e-06,0,4.54831240175e-07,4.82657628742e-07,0,3.58738009857e-06,8.20585849952e-06,0
-11.2,3,3,0,3.89068552973e-06,8.19710635369e-06,0,4.54831240175e-07,4.82657628742e-07,0,3.99358606997e-06,9.13502344287e-06,0
-10.8,3,3,0,2.76001721863e-06,5.81495373808e-06,0,4.54831240175e-07,4.82657628742e-07,0,2.83301393365e-06,6.48030371018e-06,0
